ID Number,Surname,Name,Contact
9004123456087,Molewa,Thabo,34567891
8512236784095,van der Merwe,Elsie,23456789
7807155123092,Ngwenya,Sibusiso,49876543
9205302345076,Pretorius,Nina,12345678
8809104567091,Mkhize,Zanele,58765432
9502081234085,Smit,Leah,12345672
8107309876053,Dlamini,Nomzamo,69876541
9304156789012,Van Wyk,Daniel,123456789
8709234567098,Motsapi,Kea,623459876
9607301234094,Sithole,Mandla,123451234
8105195678041,Naidoo,Ananya,23456781
9207102345012,Moatshe,Kopano,432198765
9503187893065,Steenkamp,Elri,987654321
8707301234094,Phiri,Lebo,123451234
9205195678041,Padayachee,Rohan,23456781
8806159876056,Van Rooyen,Jason,234567890
9307102345012,Mokgosi,Thandi,432198765
8604206789054,Visser,Anke,334567123
9003064567082,Ndaba,Ayanda,654321890
